# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
9.160000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.160000e-01,1.512222e-01,5.567466e-01,5.856958e-01,5.425863e-01,1.512222e-01,6.702978e-02,2.777076e-02,6.702978e-02,2.777076e-02,1.270280e-02,2.440744e+05,7.831457e+05,6.977544e+05,8.569196e+05,1.028013e+06,9.499992e+05,1.754443e+05,1.448230e+05,2.186497e+04,8.756286e+03,1.813500e-04,2.046819e-04,1.802356e-04,1.352077e-02,1.776469e-02,1.431984e-01,8.699901e-01,1.000000e+00
9.160000e-01,1.574444e-01,5.604567e-01,5.857621e-01,5.386517e-01,1.574444e-01,6.920367e-02,2.866683e-02,6.920367e-02,2.866683e-02,1.322547e-02,2.440744e+05,8.131841e+05,7.227427e+05,8.869580e+05,1.053002e+06,9.632994e+05,1.883673e+05,1.576278e+05,2.211956e+04,8.619996e+03,1.894736e-04,2.109114e-04,1.837069e-04,1.299840e-02,1.739291e-02,1.405889e-01,8.935995e-01,1.000000e+00
9.160000e-01,1.636667e-01,5.640086e-01,5.858764e-01,5.347647e-01,1.636667e-01,7.135727e-02,2.955077e-02,7.135727e-02,2.955077e-02,1.374814e-02,2.440744e+05,8.433597e+05,7.475537e+05,9.171336e+05,1.077813e+06,9.761696e+05,2.018497e+05,1.710493e+05,2.235561e+04,8.444719e+03,1.976352e-04,2.171012e-04,1.870561e-04,1.251697e-02,1.704406e-02,1.381823e-01,9.169653e-01,1.000000e+00
9.160000e-01,1.698889e-01,5.674137e-01,5.860181e-01,5.309422e-01,1.698889e-01,7.349163e-02,3.042425e-02,7.349163e-02,3.042425e-02,1.427081e-02,2.440744e+05,8.736655e+05,7.721739e+05,9.474394e+05,1.102433e+06,9.886607e+05,2.159038e+05,1.850998e+05,2.257101e+04,8.233059e+03,2.058330e-04,2.232473e-04,1.903009e-04,1.207189e-02,1.671592e-02,1.359459e-01,9.401072e-01,1.000000e+00
9.160000e-01,1.761111e-01,5.706812e-01,5.861676e-01,5.272015e-01,1.761111e-01,7.560783e-02,3.128902e-02,7.560783e-02,3.128902e-02,1.479349e-02,2.440744e+05,9.040942e+05,7.965892e+05,9.778681e+05,1.126848e+06,1.000826e+06,2.305423e+05,1.997909e+05,2.276340e+04,7.987957e+03,2.140648e-04,2.293461e-04,1.934599e-04,1.165921e-02,1.640652e-02,1.338504e-01,9.630424e-01,1.000000e+00
9.250000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.512222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.574444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.636667e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.698889e-01,5.703644e-01,5.921960e-01,5.719337e-01,1.698889e-01,7.299033e-02,2.976580e-02,7.299033e-02,2.976580e-02,1.274183e-02,2.440744e+05,8.775909e+05,7.774701e+05,9.513648e+05,1.107729e+06,1.043310e+06,2.186225e+05,1.862089e+05,2.252239e+04,9.891179e+03,2.068895e-04,2.244004e-04,2.046096e-04,1.205835e-02,1.691555e-02,1.398505e-01,9.422203e-01,1.000000e+00
9.250000e-01,1.761111e-01,5.736013e-01,5.924097e-01,5.684580e-01,1.761111e-01,7.509357e-02,3.060746e-02,7.509357e-02,3.060746e-02,1.320851e-02,2.440744e+05,9.081156e+05,8.021087e+05,9.818895e+05,1.132368e+06,1.056644e+06,2.334095e+05,2.009522e+05,2.271892e+04,9.738366e+03,2.151474e-04,2.305549e-04,2.080968e-04,1.164701e-02,1.660182e-02,1.375882e-01,9.651469e-01,1.000000e+00
