# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine Flow (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
9.30E-01,1.45E-01,6.06E-01,6.06E-01,5.49E-01,1.45E-01,5.71E-02,2.25E-02,5.71E-02,2.25E-02,1.02E-02,2.44E+05,8.15E+05,6.36E+05,8.88E+05,9.66E+05,9.27E+05,1.73E+05,1.49E+05,1.15E+04,1.31E+04,1.90E-04,1.85E-04,1.60E-04,1.38E-02,2.32E-02,2.06E-01
9.30E-01,1.51E-01,6.07E-01,6.07E-01,5.47E-01,1.51E-01,5.95E-02,2.34E-02,5.95E-02,2.34E-02,1.06E-02,2.44E+05,8.43E+05,6.63E+05,9.17E+05,9.94E+05,9.43E+05,1.86E+05,1.61E+05,1.20E+04,1.31E+04,1.98E-04,1.92E-04,1.64E-04,1.33E-02,2.23E-02,2.00E-01
9.30E-01,1.58E-01,6.07E-01,6.07E-01,5.46E-01,1.58E-01,6.19E-02,2.43E-02,6.19E-02,2.43E-02,1.10E-02,2.44E+05,8.72E+05,6.91E+05,9.46E+05,1.02E+06,9.58E+05,1.99E+05,1.74E+05,1.25E+04,1.30E+04,2.05E-04,2.00E-04,1.69E-04,1.28E-02,2.16E-02,1.94E-01
9.30E-01,1.64E-01,6.08E-01,6.08E-01,5.44E-01,1.64E-01,6.42E-02,2.52E-02,6.42E-02,2.52E-02,1.15E-02,2.44E+05,9.01E+05,7.19E+05,9.75E+05,1.05E+06,9.74E+05,2.13E+05,1.87E+05,1.30E+04,1.28E+04,2.13E-04,2.07E-04,1.73E-04,1.23E-02,2.09E-02,1.88E-01
9.30E-01,1.70E-01,6.09E-01,6.09E-01,5.43E-01,1.70E-01,6.66E-02,2.60E-02,6.66E-02,2.60E-02,1.19E-02,2.44E+05,9.30E+05,7.47E+05,1.00E+06,1.08E+06,9.89E+05,2.28E+05,2.01E+05,1.35E+04,1.26E+04,2.21E-04,2.14E-04,1.77E-04,1.19E-02,2.02E-02,1.83E-01
9.30E-01,1.76E-01,6.09E-01,6.09E-01,5.41E-01,1.76E-01,6.89E-02,2.69E-02,6.89E-02,2.69E-02,1.23E-02,2.44E+05,9.59E+05,7.75E+05,1.03E+06,1.10E+06,1.00E+06,2.42E+05,2.16E+05,1.40E+04,1.23E+04,2.29E-04,2.21E-04,1.81E-04,1.15E-02,1.96E-02,1.79E-01
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
