# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
9.070000e-01,1.761111e-01,5.938776e-01,6.361786e-01,3.705825e-01,1.761111e-01,7.152270e-02,2.602155e-02,7.152270e-02,2.602155e-02,1.637847e-02,2.440744e+05,9.361137e+05,8.398941e+05,1.009888e+06,1.170153e+06,7.858615e+05,2.286834e+05,2.091211e+05,2.237430e+04,-2.812023e+03,2.226847e-04,2.387067e-04,1.161681e-04,1.157836e-02,1.819407e-02,2.235941e-01,9.797178e-01,1.000000e+00
9.160000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.160000e-01,1.512222e-01,5.712852e-01,6.143840e-01,4.918908e-01,1.512222e-01,6.483122e-02,2.500000e-02,6.483122e-02,2.500000e-02,1.270280e-02,2.440744e+05,8.004670e+05,7.198331e+05,8.742409e+05,1.050092e+06,8.761351e+05,1.788123e+05,1.494033e+05,2.159395e+04,7.815097e+03,1.860083e-04,2.093579e-04,1.505693e-04,1.343905e-02,1.886423e-02,1.806848e-01,8.801531e-01,1.000000e+00
9.160000e-01,1.574444e-01,5.788679e-01,6.229549e-01,4.709839e-01,1.574444e-01,6.630493e-02,2.500000e-02,6.630493e-02,2.500000e-02,1.322547e-02,2.440744e+05,8.359934e+05,7.522177e+05,9.097674e+05,1.082477e+06,8.652401e+05,1.912514e+05,1.638224e+05,2.177780e+04,5.651122e+03,1.956095e-04,2.171815e-04,1.443633e-04,1.290734e-02,1.880482e-02,1.914173e-01,9.065663e-01,1.000000e+00
9.160000e-01,1.636667e-01,5.859043e-01,6.311261e-01,4.500770e-01,1.636667e-01,6.777368e-02,2.500000e-02,6.777368e-02,2.500000e-02,1.374814e-02,2.440744e+05,8.715248e+05,7.844587e+05,9.452987e+05,1.114718e+06,8.540810e+05,2.043310e+05,1.788949e+05,2.195495e+04,3.481119e+03,2.052139e-04,2.249860e-04,1.381281e-04,1.242183e-02,1.874589e-02,2.029934e-01,9.324953e-01,1.000000e+00
9.160000e-01,1.698889e-01,5.924551e-01,6.389242e-01,4.291700e-01,1.698889e-01,6.923737e-02,2.500000e-02,6.923737e-02,2.500000e-02,1.427081e-02,2.440744e+05,9.070647e+05,8.165571e+05,9.808386e+05,1.146816e+06,8.426590e+05,2.180603e+05,1.946304e+05,2.212476e+04,1.305096e+03,2.148222e-04,2.327702e-04,1.318662e-04,1.197653e-02,1.868773e-02,2.155373e-01,9.579867e-01,1.000000e+00
9.160000e-01,1.761111e-01,5.968060e-01,6.425370e-01,4.171787e-01,1.761111e-01,7.100697e-02,2.538243e-02,7.100697e-02,2.538243e-02,1.479349e-02,2.440744e+05,9.401688e+05,8.452761e+05,1.013943e+06,1.175535e+06,8.413409e+05,2.324364e+05,2.103163e+05,2.231989e+04,-1.997713e+02,2.237763e-04,2.398488e-04,1.298537e-04,1.157077e-02,1.846297e-02,2.201895e-01,9.818163e-01,1.000000e+00
9.250000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.512222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.574444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.636667e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.698889e-01,5.924551e-01,6.389242e-01,4.903300e-01,1.698889e-01,6.923737e-02,2.500000e-02,6.923737e-02,2.500000e-02,1.274183e-02,2.440744e+05,9.070647e+05,8.165571e+05,9.808386e+05,1.146816e+06,9.178064e+05,2.218177e+05,1.946304e+05,2.212476e+04,5.062468e+03,2.148222e-04,2.327702e-04,1.533246e-04,1.197653e-02,1.868773e-02,2.040510e-01,9.579867e-01,1.000000e+00
9.250000e-01,1.761111e-01,5.985724e-01,6.463736e-01,4.716631e-01,1.761111e-01,7.069588e-02,2.500000e-02,7.069588e-02,2.500000e-02,1.320850e-02,2.440744e+05,9.426163e+05,8.485138e+05,1.016390e+06,1.178773e+06,9.085295e+05,2.363265e+05,2.110391e+05,2.228656e+04,3.000788e+03,2.244352e-04,2.405334e-04,1.476293e-04,1.156647e-02,1.863058e-02,2.147927e-01,9.830814e-01,1.000000e+00
